Model,Seed,Metric,ER,PR,HER2,experiment,round
finetuned_model,42,auc,0.8875115848007415,0.8441056698339772,0.7147679324894514,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250226_115701
finetuned_model,42,balanced_accuracy,0.7462928637627433,0.725905816017542,0.5620253164556962,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250226_115701
finetuned_model,42,accuracy,0.8302752293577982,0.8211009174311926,0.7110091743119266,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250226_030529
finetuned_model,42,auc,0.8816033364226135,0.8509971807455361,0.7383966244725738,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250226_030529
finetuned_model,42,balanced_accuracy,0.7366774791473587,0.745483972016289,0.5473628691983122,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250226_030529
finetuned_model,42,accuracy,0.8165137614678899,0.7981651376146789,0.7155963302752294,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250225_180619
finetuned_model,42,auc,0.8748841519925857,0.8240576380912603,0.7457805907172996,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250225_180619
finetuned_model,42,balanced_accuracy,0.7144346617238184,0.7195363892659496,0.5660337552742616,"Defaults+stain_normalize_finetune;True,stain_normalize_inference;True,st_PCA;True",20250225_180619
finetuned_model,42,accuracy,0.8394495412844036,0.8119266055045872,0.7477064220183486,"Defaults+train_epochs;0,stain_normalize_inference;True",20250219_102439
finetuned_model,42,auc,0.8865848007414271,0.8460895896418503,0.7564345991561181,"Defaults+train_epochs;0,stain_normalize_inference;True",20250219_102439
finetuned_model,42,balanced_accuracy,0.7360982391102873,0.7341025373290174,0.5881856540084388,"Defaults+train_epochs;0,stain_normalize_inference;True",20250219_102439
finetuned_model,42,accuracy,0.8486238532110092,0.8027522935779816,0.7477064220183486,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_061727
finetuned_model,42,auc,0.8687442075996293,0.8123629529080088,0.77457805907173,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_061727
finetuned_model,42,balanced_accuracy,0.7421223354958295,0.7076850788347082,0.6088607594936709,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_061727
finetuned_model,42,accuracy,0.8211009174311926,0.7889908256880734,0.7293577981651376,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250219_232316
finetuned_model,42,auc,0.8509036144578312,0.7792628171661272,0.7387130801687763,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250219_232316
finetuned_model,42,balanced_accuracy,0.724050046339203,0.6881069228359612,0.5703586497890296,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250219_232316
finetuned_model,42,accuracy,0.8302752293577982,0.7844036697247706,0.7568807339449541,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_170749
finetuned_model,42,auc,0.8549582947173309,0.7923149211652918,0.7610759493670886,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_170749
finetuned_model,42,balanced_accuracy,0.7234708063021316,0.6799102015244858,0.6203586497890295,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_170749
finetuned_model,42,accuracy,0.8486238532110092,0.8027522935779816,0.7477064220183486,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_081515
finetuned_model,42,auc,0.8646895273401298,0.8077686123003028,0.7715189873417722,"Defaults+normalize_total;True,normalize_CPM;True,log1p;True",20250220_081515
